qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.3475,0.3075,0.345,2000.0
2,r0,r1,r2,r4,0.3505,0.3125,0.337,2000.0
3,r0,r1,r3,r4,0.3815,0.313,0.3055,2000.0
4,r0,r2,r3,r4,0.349,0.323,0.328,2000.0
5,r1,r2,r3,r4,0.3745,0.3055,0.32,2000.0
6,r0,r1,r2,r5,0.3495,0.316,0.3345,2000.0
7,r0,r1,r3,r5,0.3695,0.325,0.3055,2000.0
8,r0,r2,r3,r5,0.3515,0.34,0.3085,2000.0
9,r1,r2,r3,r5,0.3675,0.3115,0.321,2000.0
10,r0,r1,r4,r5,0.3695,0.3085,0.322,2000.0
11,r0,r2,r4,r5,0.36,0.329,0.311,2000.0
12,r1,r2,r4,r5,0.3765,0.311,0.3125,2000.0
13,r0,r3,r4,r5,0.344,0.3225,0.3335,2000.0
14,r1,r3,r4,r5,0.3305,0.327,0.3425,2000.0
15,r2,r3,r4,r5,0.332,0.325,0.343,2000.0
16,r0,r1,r2,r6,0.373,0.3065,0.3205,2000.0
17,r0,r1,r3,r6,0.3785,0.317,0.3045,2000.0
18,r0,r2,r3,r6,0.347,0.3425,0.3105,2000.0
19,r1,r2,r3,r6,0.36,0.3295,0.3105,2000.0
20,r0,r1,r4,r6,0.37,0.3155,0.3145,2000.0
21,r0,r2,r4,r6,0.343,0.346,0.311,2000.0
22,r1,r2,r4,r6,0.3635,0.33,0.3065,2000.0
23,r0,r3,r4,r6,0.337,0.3355,0.3275,2000.0
24,r1,r3,r4,r6,0.3295,0.336,0.3345,2000.0
25,r2,r3,r4,r6,0.321,0.325,0.354,2000.0
26,r0,r1,r5,r6,0.3955,0.2975,0.307,2000.0
27,r0,r2,r5,r6,0.368,0.3275,0.3045,2000.0
28,r1,r2,r5,r6,0.381,0.322,0.297,2000.0
29,r0,r3,r5,r6,0.376,0.306,0.318,2000.0
30,r1,r3,r5,r6,0.348,0.325,0.327,2000.0
31,r2,r3,r5,r6,0.355,0.3105,0.3345,2000.0
32,r0,r4,r5,r6,0.363,0.3205,0.3165,2000.0
33,r1,r4,r5,r6,0.3605,0.3165,0.323,2000.0
34,r2,r4,r5,r6,0.343,0.3215,0.3355,2000.0
35,r3,r4,r5,r6,0.361,0.3205,0.3185,2000.0
36,r0,r1,r2,r7,0.3365,0.314,0.3495,2000.0
37,r0,r1,r3,r7,0.3825,0.315,0.3025,2000.0
38,r0,r2,r3,r7,0.3535,0.319,0.3275,2000.0
39,r1,r2,r3,r7,0.381,0.303,0.316,2000.0
40,r0,r1,r4,r7,0.3615,0.314,0.3245,2000.0
41,r0,r2,r4,r7,0.35,0.3295,0.3205,2000.0
42,r1,r2,r4,r7,0.38,0.3195,0.3005,2000.0
43,r0,r3,r4,r7,0.3215,0.34,0.3385,2000.0
44,r1,r3,r4,r7,0.318,0.339,0.343,2000.0
45,r2,r3,r4,r7,0.3265,0.3305,0.343,2000.0
46,r0,r1,r5,r7,0.37,0.3145,0.3155,2000.0
47,r0,r2,r5,r7,0.355,0.3225,0.3225,2000.0
48,r1,r2,r5,r7,0.3685,0.322,0.3095,2000.0
49,r0,r3,r5,r7,0.3465,0.321,0.3325,2000.0
50,r1,r3,r5,r7,0.334,0.334,0.332,2000.0
51,r2,r3,r5,r7,0.338,0.3345,0.3275,2000.0
52,r0,r4,r5,r7,0.337,0.329,0.334,2000.0
53,r1,r4,r5,r7,0.3465,0.327,0.3265,2000.0
54,r2,r4,r5,r7,0.3355,0.3275,0.337,2000.0
55,r3,r4,r5,r7,0.3385,0.32,0.3415,2000.0
56,r0,r1,r6,r7,0.3735,0.3,0.3265,2000.0
57,r0,r2,r6,r7,0.3525,0.309,0.3385,2000.0
58,r1,r2,r6,r7,0.3585,0.3115,0.33,2000.0
59,r0,r3,r6,r7,0.3475,0.327,0.3255,2000.0
60,r1,r3,r6,r7,0.335,0.339,0.326,2000.0
61,r2,r3,r6,r7,0.331,0.3455,0.3235,2000.0
62,r0,r4,r6,r7,0.359,0.3205,0.3205,2000.0
63,r1,r4,r6,r7,0.344,0.337,0.319,2000.0
64,r2,r4,r6,r7,0.3285,0.3525,0.319,2000.0
65,r3,r4,r6,r7,0.3535,0.3155,0.331,2000.0
66,r0,r5,r6,r7,0.325,0.3135,0.3615,2000.0
67,r1,r5,r6,r7,0.33,0.324,0.346,2000.0
68,r2,r5,r6,r7,0.3225,0.3435,0.334,2000.0
69,r3,r5,r6,r7,0.339,0.3165,0.3445,2000.0
70,r4,r5,r6,r7,0.333,0.32,0.347,2000.0
